"","State","Abbrev","AttorneyAccess","JusticeIndex","DisabilityAccess","LimitedEnglish","SelfRepresented","Obesity","Inactivity","TobaccoDuringPregnancy","WomensHealthServices","PrematureBirths","TeenBirths","GiniRank","Gini","GiniGroup","Region","Division"
"1","Alabama","AL",2.493727699,27.8247818,69.444444444,11.235955056,28.125,0.361,0.266,0.096,0.31,0.925,27,45,0.4847,"Medium (.46-.5)","South","East South Central"
"2","Alaska","AK",11.347821432,33.56534175,56.944444444,24.719101124,41.25,0.331,0.18,0.107,0.63,0.942,22,2,0.4081,"Low (.4-.45)","West","Pacific"
"3","Arizona","AZ",4.222205741,38.111380087,62.5,21.348314607,64.375,0.269,0.194,0.048,0.15,0.91,22,31,0.4713,"Medium (.46-.5)","West","Mountain"
"4","Arkansas","AR",3.328505647,36.903443515,48.611111111,60.674157303,35,0.402,0.293,0.137,0.29,0.9,32.8,32,0.4719,"Medium (.46-.5)","South","West South Central"
"5","California","CA",4.402158571,49.972652626,77.777777778,31.460674157,86.25,0.234,0.185,0.014,0.5,0.962,15.1,48,0.4899,"Medium (.46-.5)","West","Pacific"
"6","Colorado","CO",2.964842893,55.453484444,93.055555556,65.168539326,60.625,0.208,0.165,0.061,0.38,0.94,16.1,21,0.4586,"Medium (.46-.5)","West","Mountain"
"7","Connecticut","CT",14.612584014,59.798394131,79.166666667,68.539325843,76.875,0.216,0.211,0.045,0.38,0.967,8.8,49,0.4945,"Medium (.46-.5)","Northeast","New England"
"8","Delaware","DE",6.985141064,43.67766011,55.555555556,64.04494382,48.125,0.283,0.295,0.091,0.3,0.933,18.5,14,0.4522,"Medium (.46-.5)","South","South Atlantic"
"9","District of Columbia","DC",93.261666607,67.900310534,65.277777778,50.561797753,62.5,0.235,0.21,0.027,0.84,0.909,21,52,0.542,"High (.51-.55)","South","South Atlantic"
"10","Florida","FL",4.609694727,35.078765754,72.222222222,13.483146067,50,0.243,0.262,0.048,0.17,0.924,18.2,46,0.4852,"Medium (.46-.5)","South","South Atlantic"
"11","Georgia","GA",3.068927205,31.359460266,41.666666667,38.202247191,42.5,0.317,0.257,0.048,0.16,0.915,21.9,43,0.4813,"Medium (.46-.5)","South","South Atlantic"
"12","Hawaii","HI",11.495684871,62.231950244,79.166666667,87.640449438,70.625,0.228,0.227,0.04,0.25,0.929,19.1,5,0.442,"Low (.4-.45)","West","Pacific"
"13","Idaho","ID",2.86583952,36.447577233,34.722222222,38.202247191,70,0.243,0.159,0.088,0.21,0.958,18.6,12,0.4503,"Medium (.46-.5)","West","Mountain"
"14","Illinois","IL",7.910129177,52.971797275,79.166666667,51.685393258,73.125,0.266,0.221,0.064,0.2,0.94,17.4,40,0.481,"Medium (.46-.5)","Midwest","East North Central"
"15","Indiana","IN",3.167461386,26.899465222,44.444444444,11.235955056,48.75,0.299,0.242,0.135,0.19,0.937,22.8,15,0.4527,"Medium (.46-.5)","Midwest","East North Central"
"16","Iowa","IA",6.003637557,36.639018003,70.833333333,24.719101124,45,0.315,0.18,0.124,0.29,0.956,16,6,0.4451,"Low (.4-.45)","Midwest","West North Central"
"17","Kansas","KS",3.505741343,30.202082964,56.944444444,13.483146067,46.875,0.308,0.222,0.101,0.17,0.962,21.3,18,0.455,"Medium (.46-.5)","Midwest","West North Central"
"18","Kentucky","KY",4.323492761,38.338012703,70.833333333,43.820224719,34.375,0.333,0.265,0.179,0.24,0.945,29,42,0.4813,"Medium (.46-.5)","South","East South Central"
"19","Louisiana","LA",4.406424646,29.243577135,58.333333333,12.359550562,41.875,0.341,0.288,0.065,0.15,0.939,29.1,50,0.499,"Medium (.46-.5)","South","West South Central"
"20","Maine","ME",9.394797016,48.800985459,86.111111111,41.573033708,58.125,0.237,0.16,0.131,0.33,0.964,13.1,13,0.4519,"Medium (.46-.5)","Northeast","New England"
"21","Maryland","MD",14.858530082,60.375837265,86.111111111,73.033707865,67.5,0.284,0.236,0.055,0.25,0.931,14.2,11,0.4499,"Low (.4-.45)","South","South Atlantic"
"22","Massachusetts","MA",8.848869695,63.759502068,79.166666667,82.02247191,85,0.185,0.19,0.047,0.25,0.95,8.1,37,0.4786,"Medium (.46-.5)","Northeast","New England"
"23","Michigan","MI",3.987354772,43.511273774,86.111111111,42.696629213,41.25,0.305,0.23,0.113,0.16,0.951,16.4,28,0.4695,"Medium (.46-.5)","Midwest","East North Central"
"24","Minnesota","MN",7.61322883,54.54609747,79.166666667,76.404494382,55,0.238,0.173,0.081,0.29,0.962,12.1,9,0.4496,"Low (.4-.45)","Midwest","West North Central"
"25","Mississippi","MS",2.557464079,14.704596981,27.777777778,13.483146067,15,0.38,0.276,0.089,0.28,0.952,31,44,0.4828,"Medium (.46-.5)","South","East South Central"
"26","Missouri","MO",4.681091804,31.677451478,44.444444444,32.584269663,45,0.303,0.239,0.145,0.18,0.944,22.5,24,0.4646,"Medium (.46-.5)","Midwest","West North Central"
"27","Montana","MT",3.36019662,33.102845659,44.444444444,14.606741573,70,0.23,0.153,0.15,0.41,0.94,21.2,25,0.4667,"Medium (.46-.5)","West","Mountain"
"28","Nebraska","NE",5.942269059,37.031174318,51.388888889,65.168539326,25.625,0.298,0.188,0.096,0.2,0.946,18.1,7,0.4477,"Low (.4-.45)","Midwest","West North Central"
"29","Nevada","NV",5.258751606,23.913587714,41.666666667,16.853932584,31.875,0.252,0.256,0.042,0.1,0.911,21.9,19,0.4577,"Medium (.46-.5)","West","Mountain"
"30","New Hampshire","NH",4.169518733,36.443635926,65.277777778,38.202247191,38.125,0.253,0.189,0.113,0.29,0.963,8.4,3,0.4304,"Low (.4-.45)","Northeast","New England"
"31","New Jersey","NJ",5.635352216,39.030951038,65.277777778,31.460674157,53.75,0.222,0.278,0.037,0.22,0.942,10.3,41,0.4813,"Medium (.46-.5)","Northeast","Middle Atlantic"
"32","New Mexico","NM",4.671000786,50.54801705,62.5,83.146067416,51.875,0.279,0.205,0.063,0.28,0.885,27.9,34,0.4769,"Medium (.46-.5)","West","Mountain"
"33","New York","NY",26.532673794,39.094544853,50,23.595505618,56.25,0.214,0.27,0.045,0.32,0.95,12.5,51,0.5229,"High (.51-.55)","Northeast","Middle Atlantic"
"34","North Carolina","NC",5.082848916,42.73372721,79.166666667,51.685393258,35,0.322,0.201,0.087,0.2,0.935,20.6,35,0.478,"Medium (.46-.5)","South","South Atlantic"
"35","North Dakota","ND",4.14263493,27.005345062,41.666666667,30.337078652,31.875,0.296,0.201,0.119,0.26,0.944,16.2,16,0.4533,"Medium (.46-.5)","Midwest","West North Central"
"36","Ohio","OH",4.492888974,33.721731919,55.555555556,29.213483146,45.625,0.309,0.228,0.138,0.14,0.937,20.8,26,0.468,"Medium (.46-.5)","Midwest","East North Central"
"37","Oklahoma","OK",4.747395121,28.214587544,62.5,11.235955056,34.375,0.35,0.258,0.112,0.31,0.93,29.7,23,0.4645,"Medium (.46-.5)","South","West South Central"
"38","Oregon","OR",9.853148645,48.928642966,58.333333333,77.528089888,50,0.262,0.16,0.089,0.39,0.955,15,20,0.4583,"Medium (.46-.5)","West","Pacific"
"39","Pennsylvania","PA",5.901179604,30.997376674,51.388888889,40.449438202,26.25,0.263,0.181,0.111,0.29,0.934,14.8,27,0.4689,"Medium (.46-.5)","Northeast","Middle Atlantic"
"40","Rhode Island","RI",7.323262917,42.093378151,65.277777778,82.02247191,13.75,0.247,0.238,0.06,0.35,0.98,11.4,36,0.4781,"Medium (.46-.5)","Northeast","New England"
"41","South Carolina","SC",2.435761015,30.955382201,41.666666667,24.719101124,55,0.333,0.237,0.084,0.31,0.934,21.7,33,0.4735,"Medium (.46-.5)","South","South Atlantic"
"42","South Dakota","SD",4.424543897,24.330035787,41.666666667,16.853932584,34.375,0.274,0.124,0.126,0.27,0.939,22.6,8,0.4495,"Low (.4-.45)","Midwest","West North Central"
"43","Tennessee","TN",3.39757979,50.973458618,70.833333333,69.662921348,60,0.329,0.25,0.128,0.26,0.923,26.6,38,0.479,"Medium (.46-.5)","South","East South Central"
"44","Texas","TX",2.969190028,34.077971664,62.5,25.842696629,45,0.31,0.256,0.03,0.1,0.898,27.6,39,0.48,"Medium (.46-.5)","South","West South Central"
"45","Utah","UT",3.623694939,40.496084471,65.277777778,33.707865169,59.375,0.213,0.142,0.032,0.22,0.963,15.2,1,0.4063,"Low (.4-.45)","West","Mountain"
"46","Vermont","VT",7.24892242,29.051033664,48.611111111,24.719101124,35.625,0.256,0.148,0.155,0.59,0.983,10.1,17,0.4539,"Medium (.46-.5)","Northeast","New England"
"47","Virginia","VA",5.993368863,38.341546024,44.444444444,57.303370787,45.625,0.283,0.221,0.056,0.17,0.952,15,29,0.4705,"Medium (.46-.5)","South","South Atlantic"
"48","Washington","WA",10.92450039,46.520528968,84.722222222,51.685393258,38.75,0.253,0.175,0.068,0.26,0.939,14.8,22,0.4591,"Medium (.46-.5)","West","Pacific"
"49","West Virginia","WV",6.294190318,42.961266056,72.222222222,37.078651685,56.25,0.325,0.227,0.247,0.47,0.933,27.1,30,0.4711,"Medium (.46-.5)","South","South Atlantic"
"50","Wisconsin","WI",3.717795959,50.496591624,72.222222222,62.921348315,63.125,0.287,0.186,0.11,0.22,0.959,13.8,10,0.4498,"Low (.4-.45)","Midwest","East North Central"
"51","Wyoming","WY",6.399765505,19.896406732,20.833333333,17.97752809,34.375,0.257,0.177,0.144,0.3,0.938,24.6,4,0.436,"Low (.4-.45)","West","Mountain"
